slug,logo_url,icon_url,logo_sha256,icon_sha256
larkin-street-youth-services,https://jobseek-assets.colophon-group.org/companies/larkin-street-youth-services/logo.png,https://jobseek-assets.colophon-group.org/companies/larkin-street-youth-services/icon.webp,1235f65356e078c20291d82e74218d6a6045ee4d4ed75c18bed26a349e213f44,1f3a68e880124dce5adbeccff6b754ab568f4f15a4aa4ced2843ddb522b35061
minitab,https://jobseek-assets.colophon-group.org/companies/minitab/logo.png,https://jobseek-assets.colophon-group.org/companies/minitab/icon.webp,3fd74f18c4d5df854c62cb41b3247c71d2f3e26a85687cb1bed58792b8e5f2be,819fc1a914f99b3fe0f2bb638f53031ac6bd8fddd99778852c578bd83109873e
papa,https://jobseek-assets.colophon-group.org/companies/papa/logo.png,https://jobseek-assets.colophon-group.org/companies/papa/icon.webp,5ab39b0570014627d9d2dc332549eb6c7c4048f31f289d5120c83e4fc2cb9227,9f5f336e644d9764e89f098a0c0ea939e9f4a2ed61c18a70037c6c11e40872b2
penny-cz,https://jobseek-assets.colophon-group.org/companies/penny-cz/logo.svg,https://jobseek-assets.colophon-group.org/companies/penny-cz/icon.webp,2fda22f8897dc50460d213447ade836d4ff65396cef7e8ab7894d37f66c1eb34,34a3d08b91869f62f7413ded92a56d1f330f5186b7f509a3691b994ffe5567a4
rockstar-games,https://jobseek-assets.colophon-group.org/companies/rockstar-games/logo.png,https://jobseek-assets.colophon-group.org/companies/rockstar-games/icon.webp,5882eb239a34a344bc223fa220a3039bc4e3a539d7846268f50b5163a5f7138f,cc5b92df55c637c61ab69779f467eebaacdf320347602704338a1c1d3ac6a11d
sterlington-pllc,https://jobseek-assets.colophon-group.org/companies/sterlington-pllc/logo.png,https://jobseek-assets.colophon-group.org/companies/sterlington-pllc/icon.webp,b4ff489830a97c57c123aa4517b166b187dfaa6691da8ea67f4cf407a17727d5,e9b10ceda1d6dd33ba46484a16b78aeac17318db4eddf22ea62903b8f9e2b2a3
tonal,https://jobseek-assets.colophon-group.org/companies/tonal/logo.png,https://jobseek-assets.colophon-group.org/companies/tonal/icon.webp,01f6ad4910f00bc1a3b3fad1b1539ae1d6409b14df7b1a42208ef24a34929172,8d4362894e75bb3b5046cb204a9ad737509679ed046cf8c3500f58135afec0f6
trustly,https://jobseek-assets.colophon-group.org/companies/trustly/logo.png,https://jobseek-assets.colophon-group.org/companies/trustly/icon.webp,852d651e0f99b8c2e73f530bae57efcda4320843f19fbc3b0370c59bde5a5f0c,5eff4207ed0d61ef72ad59703bd7cdf17e4bb94447c6ce4028ee50efc1409fa1
visana,https://jobseek-assets.colophon-group.org/companies/visana/logo-eb159bba3adbb38c21fe7c1c94a15e6e99567b59b57d7dcbd4fd00ba6f1542c9.png,https://jobseek-assets.colophon-group.org/companies/visana/icon-4c260f5b1f9f413e1e49f84cd1b33389442c818038432604365fc16681bcfe34.webp,eb159bba3adbb38c21fe7c1c94a15e6e99567b59b57d7dcbd4fd00ba6f1542c9,4c260f5b1f9f413e1e49f84cd1b33389442c818038432604365fc16681bcfe34
woo-x,https://jobseek-assets.colophon-group.org/companies/woo-x/logo.ico,https://jobseek-assets.colophon-group.org/companies/woo-x/icon.webp,2bc8562a30a05a4d229cab129da5f37c1cc709919f850bf311707550812c92c9,4163b6c0b1aeaa8ba42bdbcfe07aef7784b4ed9b851b1456ea7072dbb0dbeb16
