slug,en,de,fr,it
software-engineering,Software Engineering,Softwareentwicklung,Génie logiciel,Ingegneria del software
data-ai,Data & AI,Daten & KI,Données & IA,Dati & IA
infrastructure-security,Infrastructure & Security,Infrastruktur & Sicherheit,Infrastructure & Sécurité,Infrastruttura & Sicurezza
product-design,Product & Design,Produkt & Design,Produit & Design,Prodotto & Design
management-consulting,Management & Consulting,Management & Beratung,Management & Conseil,Management & Consulenza
sales-customer,Sales & Customer,Vertrieb & Kunden,Ventes & Clients,Vendite & Clienti
corporate-functions,Corporate Functions,Unternehmensfunktionen,Fonctions d'entreprise,Funzioni aziendali
operations-facilities,Operations & Facilities,Betrieb & Einrichtungen,Opérations & Installations,Operazioni & Strutture
healthcare,Healthcare,Gesundheitswesen,Santé,Sanità
