slug,en,de,fr,it,aliases
intern,Intern,Praktikant,Stagiaire,Stagista,Internship|Werkstudent|Praktikum|Praktikant|Stagiaire|Stage|Alternance|Apprentice|Apprendistato|Aprendizaje|Ausbildung|Working Student|Duales Studium|Trainee|Lehre
entry,Entry Level,Berufseinsteiger,Débutant,Livello base,Junior|Jr|Graduate Program
mid,Mid Level,Mittelstufe,Intermédiaire,Livello intermedio,
senior,Senior,Senior,Sénior,Senior,Sr
lead,Lead,Teamleitung,Responsable d'équipe,Team Lead,Team Lead|Tech Lead|Engineering Lead
staff,Staff,Staff,Staff,Staff,Staff Engineer|Staff Designer|Staff Scientist
principal,Principal,Principal,Principal,Principal,Distinguished
director,Director,Direktor,Directeur,Direttore,VP|Vice President|Head of|Directeur|Directrice
executive,Executive,Geschäftsführung,Direction générale,Dirigenza,CEO|CTO|CFO|COO|CIO|CISO|CMO|CPO|Managing Director|Geschäftsführer|Directeur général|Amministratore delegato
